time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/value_loss
157696,224,701,77,500.0,500.0,0.0038313072,-0.25490785990841686,-0.003862096229568124,0.2,0.035400390625,760,0.0003,-0.0008849121615639888,-8.533584594726562,6.70626751286818e-06
159744,229,694,78,500.0,500.0,0.0015823036,-0.25501757953315973,-0.0023636973928660154,0.2,0.021240234375,770,0.0003,-0.0008147762375301682,-2.140049695968628,1.0499860556478779e-05
161792,235,688,79,500.0,500.0,0.003932068,-0.27252465593628583,0.0018985125934705138,0.2,0.020458984375,780,0.0003,-0.000368069218529854,-5.763467311859131,6.476511657638185e-07
163840,240,682,80,500.0,500.0,0.0028068023,-0.2554747400805354,-0.015403426252305508,0.2,0.031201171875,790,0.0003,-0.0011941154400119558,-2.784287452697754,5.082192217287229e-07
165888,245,675,81,500.0,500.0,0.001004599,-0.26305556651204826,0.0003760530089493841,0.2,0.030908203125,800,0.0003,7.672993815504015e-05,-5.2497878074646,1.380608783279058e-05
167936,250,669,82,500.0,500.0,0.005726851,-0.2814030601643026,0.0032451057340949774,0.2,0.045556640625,810,0.0003,-0.0030370294873137025,-8.098211288452148,2.8513457550616295e-07
169984,256,663,83,500.0,500.0,0.0043216473,-0.28141044890508055,0.016151582822203636,0.2,0.06005859375,820,0.0003,-0.0009090702355024405,-2.5331714153289795,8.370162490223265e-06
172032,261,657,84,500.0,500.0,0.003224539,-0.27850236580707133,0.002419531112536788,0.2,0.02236328125,830,0.0003,-0.0018623003517859616,-2.8560688495635986,9.090872708839015e-07
174080,266,652,85,500.0,500.0,0.0015888854,-0.26356911221519114,0.008494439534842968,0.2,0.013037109375,840,0.0003,2.0799200137844308e-05,-3.619251251220703,3.933918407028614e-07
176128,272,646,86,500.0,500.0,0.0024777765,-0.27126190033741293,0.0015078794676810503,0.2,0.014501953125,850,0.0003,3.543142665876076e-05,-7.210020065307617,1.026077032406647e-06
178176,278,640,87,500.0,500.0,0.003563441,-0.266210830071941,0.00636038463562727,0.2,0.021826171875,860,0.0003,-0.0011086771031841637,-5.80961275100708,2.975434632901397e-05
180224,283,635,88,500.0,500.0,0.0029256376,-0.26364056980237366,-0.005747577641159296,0.2,0.03466796875,870,0.0003,-0.0025398453042726034,-5.303174018859863,3.359023338589395e-07
182272,289,630,89,500.0,500.0,0.0026119547,-0.25695398626849053,-0.004675219766795635,0.2,0.0177734375,880,0.0003,-4.340187006164342e-05,-10.14793872833252,2.5023483090080846e-07
184320,294,624,90,500.0,500.0,0.0016636763,-0.2525922283064574,-0.002063889056444168,0.2,0.011474609375,890,0.0003,0.0010269169772072928,-5.918217658996582,2.844021310011158e-07
186368,300,619,91,500.0,500.0,0.0044765826,-0.26932456172071395,0.004726398270577192,0.2,0.031494140625,900,0.0003,7.420357724186033e-05,-9.325108528137207,2.8815720440888983e-07
188416,306,614,92,500.0,500.0,0.0014841877,-0.25158870350569484,-0.00207874015904963,0.2,0.011865234375,910,0.0003,-0.0001404163813276682,-6.636460781097412,3.690147983093084e-05
190464,312,609,93,500.0,500.0,0.005200502,-0.26043722466565666,-0.0010756882838904858,0.2,0.05791015625,920,0.0003,-0.0032671158318407834,-11.425210952758789,1.973784691244873e-07
192512,318,604,94,500.0,500.0,0.0014317401,-0.2514381500892341,0.0062791514210402966,0.2,0.012890625,930,0.0003,-0.0002291817290824838,-6.491806983947754,2.477880201467997e-07
194560,324,599,95,500.0,500.0,0.0035763874,-0.2549753872212023,-0.004661073908209801,0.2,0.03173828125,940,0.0003,-0.0005228856913163327,-8.764546394348145,2.8310190032243553e-07
196608,330,595,96,500.0,500.0,0.0015138129,-0.24240133897401392,-0.006941735278815031,0.2,0.019384765625,950,0.0003,-0.0002243998518679291,-5.707154750823975,5.455561165490507e-07
198656,336,590,97,500.0,500.0,0.0012721401,-0.25386514808051286,-0.002352137118577957,0.2,0.01142578125,960,0.0003,0.0001411262244801037,-6.9902191162109375,7.058430895767742e-07
200704,342,586,98,500.0,500.0,0.0026070047,-0.2513069807551801,0.011544764041900635,0.2,0.01591796875,970,0.0003,-9.823765722103417e-05,-5.873027324676514,0.0002001513045200909
202752,348,580,99,500.0,500.0,0.0019057115,-0.2457984069362283,-0.002483564894646406,0.2,0.01484375,980,0.0003,-0.00032437814479635563,-1.9148690700531006,1.596659345182161e-06
204800,355,575,100,500.0,500.0,0.0044202106,-0.26000346913933753,0.012907425872981548,0.2,0.039013671875,990,0.0003,-0.0006498148024547846,-3.4192185401916504,1.6879399993285916e-07
206848,362,570,101,500.0,500.0,0.0019372128,-0.2528678179252893,-8.332557626999915e-05,0.2,0.018798828125,1000,0.0003,-0.0001336361325229518,-2.7156901359558105,1.684672554347344e-07
208896,369,564,102,500.0,500.0,0.00621567,-0.25831276667304337,-0.014327515847980976,0.2,0.046337890625,1010,0.0003,-0.0007908414867415558,-4.549216270446777,1.2642081514968595e-07
210944,376,559,103,500.0,500.0,0.0020980383,-0.2650767341721803,-0.014753423631191254,0.2,0.022509765625,1020,0.0003,-0.0006671654002275318,-5.689222812652588,1.576887200371857e-07
212992,383,554,104,500.0,500.0,0.0043101003,-0.24180211806669832,-0.0005896994844079018,0.2,0.02626953125,1030,0.0003,-0.0006700655867462046,-3.653768539428711,4.5692168839650547e-07
215040,390,550,105,500.0,500.0,0.0032092207,-0.2675350126810372,0.0012343779671937227,0.2,0.028662109375,1040,0.0003,-0.0020091655547730624,-3.8145008087158203,1.6925070269735443e-07
217088,398,545,106,500.0,500.0,0.0029062033,-0.2572285061702132,0.006818893365561962,0.2,0.01455078125,1050,0.0003,-0.000371575252211187,-5.214775562286377,1.8747956573861301e-07
219136,405,540,107,500.0,500.0,0.0018297532,-0.2465194207150489,0.00031783769372850657,0.2,0.0212890625,1060,0.0003,-0.0009076451839064248,-4.157036304473877,2.0732178313664916e-06
221184,412,536,108,500.0,500.0,0.0017723965,-0.24900993085466325,-0.0009541235049255192,0.2,0.01923828125,1070,0.0003,-0.00026658127317205074,-6.524864196777344,5.001593737574694e-06
223232,419,532,109,500.0,500.0,0.0022513778,-0.23079854846000672,-0.009067184291779995,0.2,0.028369140625,1080,0.0003,-0.001831478570238687,-9.159071922302246,3.464760936822131e-07
225280,426,527,110,500.0,500.0,0.0022828877,-0.23830483364872634,0.004967012908309698,0.2,0.018115234375,1090,0.0003,-0.0007358054994256235,-8.801410675048828,6.576308319949931e-06
227328,434,523,111,500.0,500.0,0.0011829995,-0.22664140146225692,0.005826262291520834,0.2,0.013232421875,1100,0.0003,0.0003163388886605389,-5.584055423736572,2.0307424222210103e-07
229376,441,519,112,500.0,500.0,0.0012830804,-0.25963149885646997,-0.0034528737887740135,0.2,0.024365234375,1110,0.0003,0.00016227680316660553,-6.007758140563965,1.493492641202465e-06
231424,448,515,113,500.0,500.0,0.004568481,-0.2774882257916033,-0.0008904170827008784,0.2,0.0416015625,1120,0.0003,-0.00037407547351904215,-9.728971481323242,4.0217064022840535e-05
233472,456,511,114,500.0,500.0,0.0028757364,-0.2434033380821347,0.0018365585710853338,0.2,0.020361328125,1130,0.0003,-0.0006075749559386167,-6.429103851318359,1.7333615005554747e-07
235520,463,507,115,500.0,500.0,0.0011342131,-0.2716248041950166,-0.012213817797601223,0.2,0.020166015625,1140,0.0003,1.0120890510734171e-05,-9.700272560119629,1.8079276742355432e-07
237568,471,504,116,500.0,500.0,0.0026051856,-0.2639763794839382,0.002932847011834383,0.2,0.0298828125,1150,0.0003,-0.0009482606401434168,-13.178947448730469,6.786423085713977e-07
239616,478,500,117,500.0,500.0,0.0022569392,-0.24200029377825558,0.001326217781752348,0.2,0.017041015625,1160,0.0003,-0.0010995219054166228,-11.896784782409668,2.5662824037908648e-05
241664,487,496,118,500.0,500.0,0.00060469424,-0.2654162097722292,-0.005990051664412022,0.2,0.0208984375,1170,0.0003,-0.00032781090994831174,-12.772014617919922,1.136887703978573e-07
243712,494,492,119,500.0,500.0,0.0019575942,-0.2528733494691551,-0.001128999050706625,0.2,0.0232421875,1180,0.0003,0.0005631594933220186,-10.183323860168457,1.6875696076112945e-07
245760,502,488,120,500.0,500.0,0.0011566073,-0.25198125853203235,-6.924375338712707e-05,0.2,0.014892578125,1190,0.0003,0.0009636148723075166,-12.496743202209473,1.6479945088576642e-07
247808,510,485,121,500.0,500.0,0.0024346882,-0.26988503988832235,-0.0032145436853170395,0.2,0.0291015625,1200,0.0003,0.00011115170054836199,-15.509841918945312,0.00010823914212494401
249856,518,481,122,500.0,500.0,0.009705298,-0.27764083901420233,0.011447655037045479,0.2,0.08916015625,1210,0.0003,-0.0040244736213935536,-11.225996017456055,9.171779424832494e-08
251904,526,478,123,500.0,500.0,0.0016503113,-0.265445197885856,-0.0025006746873259544,0.2,0.02978515625,1220,0.0003,-0.00020691075915237888,-7.5114545822143555,1.094702525961111e-07
253952,534,475,124,500.0,500.0,0.00084849156,-0.2702945183031261,0.004154806956648827,0.2,0.01611328125,1230,0.0003,2.975388488266617e-05,-8.370870590209961,9.576159527568962e-08
256000,542,471,125,500.0,500.0,0.0018239109,-0.26079717013053594,0.009355537593364716,0.2,0.017724609375,1240,0.0003,0.0004774952496518381,-8.068187713623047,1.5173626024989062e-06
258048,550,468,126,500.0,500.0,0.003422035,-0.2484937365632504,0.001269630971364677,0.2,0.02265625,1250,0.0003,-0.0017713476379867643,-7.798001289367676,4.0490136825610535e-07
260096,558,465,127,500.0,500.0,0.0020621924,-0.2553758549503982,0.0010437426390126348,0.2,0.016455078125,1260,0.0003,7.866173982620239e-05,-9.71960163116455,1.0285176301749744e-07
262144,566,462,128,500.0,500.0,0.0021873876,-0.24471411067061127,0.0008528928156010807,0.2,0.02021484375,1270,0.0003,-0.00119180160399992,-7.812163352966309,5.573654232193803e-06
264192,574,459,129,500.0,500.0,0.0015669204,-0.250734172668308,0.008327714167535305,0.2,0.02177734375,1280,0.0003,0.0010209493048023432,-5.928564071655273,2.804737551400649e-05
266240,582,456,130,500.0,500.0,0.0036693045,-0.25641318475827574,0.0005344676901586354,0.2,0.025,1290,0.0003,0.0010834673681529238,-4.783181190490723,1.245511487013573e-06
268288,591,453,131,500.0,500.0,0.0014237224,-0.2530085637234151,0.0045224204659461975,0.2,0.017529296875,1300,0.0003,0.0003277746152889449,-9.632856369018555,2.1559386311764684e-07
270336,599,450,132,500.0,500.0,0.002708885,-0.2413790503051132,-0.002350343856960535,0.2,0.018798828125,1310,0.0003,-0.0007833167241187766,-7.788947105407715,2.993135955193793e-05
272384,607,448,133,500.0,500.0,0.0027793995,-0.26511380784213545,-0.0016059124609455466,0.2,0.051904296875,1320,0.0003,0.00012089736992493272,-13.604146003723145,1.5943424585884713e-06
274432,616,445,134,500.0,500.0,0.0024778508,-0.24590231124311684,0.00144009361974895,0.2,0.020361328125,1330,0.0003,0.0007166952782426961,-7.141151428222656,1.1887462392223824e-07
276480,624,442,135,500.0,500.0,0.0014846169,-0.2570068980567157,-0.0031252214685082436,0.2,0.014599609375,1340,0.0003,0.00025718721735756844,-11.728446006774902,1.5901411290997203e-05
278528,633,439,136,500.0,500.0,0.005399471,-0.2642075235955417,-0.0035547816660255194,0.2,0.040478515625,1350,0.0003,-0.0014097786719503348,-2.3301618099212646,2.5908402591312552e-06
280576,641,437,137,500.0,500.0,0.0012700725,-0.2602592018898576,-0.0002911031187977642,0.2,0.014501953125,1360,0.0003,0.0002905133627791656,-3.729491710662842,2.417370069451863e-07
282624,650,434,138,500.0,500.0,0.0016067914,-0.26697078365832566,-0.008344708010554314,0.2,0.027685546875,1370,0.0003,-0.0005096389199024997,-2.977417230606079,3.6316424427695894e-07
284672,659,431,139,500.0,500.0,0.0025178953,-0.2707710847724229,-0.008186188526451588,0.2,0.02080078125,1380,0.0003,-0.00025182934405165724,-5.5291852951049805,1.4260849354741367e-07
286720,667,429,140,500.0,500.0,0.0020887991,-0.2601642358116806,-0.0015353666385635734,0.2,0.023193359375,1390,0.0003,6.594417791347951e-05,-3.0613040924072266,1.7284173830489634e-05
288768,676,426,141,500.0,500.0,0.0034225844,-0.25203563962131736,-0.002542271977290511,0.2,0.0224609375,1400,0.0003,-0.0005460744920128491,-6.837904930114746,1.2804044899894506e-07
290816,685,424,142,500.0,500.0,0.004313816,-0.2595484639052302,-0.0069115343503654,0.2,0.048828125,1410,0.0003,-0.0032852988006197847,-3.2152204513549805,7.309991588044795e-07
292864,694,421,143,500.0,500.0,0.004522492,-0.2648481547366828,0.005852438509464264,0.2,0.0611328125,1420,0.0003,-0.002783838170580566,-7.999212265014648,1.7185196838909177e-07
294912,703,419,144,500.0,500.0,0.0023166435,-0.25837300266139207,0.0006850781501270831,0.2,0.01552734375,1430,0.0003,-0.0014617697190260515,-6.05131196975708,8.57086259600237e-06
