rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
500.0,635,182272,286,500.0,89,0.0026119547,-0.004675219766795635,0.0003,0.0177734375,880,-10.14793872833252,0.2,2.5023483090080846e-07,-0.25695398626849053,-4.340187006164342e-05
500.0,630,184320,292,500.0,90,0.0016636763,-0.002063889056444168,0.0003,0.011474609375,890,-5.918217658996582,0.2,2.844021310011158e-07,-0.2525922283064574,0.0010269169772072928
500.0,625,186368,297,500.0,91,0.0044765826,0.004726398270577192,0.0003,0.031494140625,900,-9.325108528137207,0.2,2.8815720440888983e-07,-0.26932456172071395,7.420357724186033e-05
500.0,621,188416,303,500.0,92,0.0014841877,-0.00207874015904963,0.0003,0.011865234375,910,-6.636460781097412,0.2,3.690147983093084e-05,-0.25158870350569484,-0.0001404163813276682
500.0,616,190464,308,500.0,93,0.005200502,-0.0010756882838904858,0.0003,0.05791015625,920,-11.425210952758789,0.2,1.973784691244873e-07,-0.26043722466565666,-0.0032671158318407834
500.0,612,192512,314,500.0,94,0.0014317401,0.0062791514210402966,0.0003,0.012890625,930,-6.491806983947754,0.2,2.477880201467997e-07,-0.2514381500892341,-0.0002291817290824838
500.0,607,194560,320,500.0,95,0.0035763874,-0.004661073908209801,0.0003,0.03173828125,940,-8.764546394348145,0.2,2.8310190032243553e-07,-0.2549753872212023,-0.0005228856913163327
500.0,603,196608,325,500.0,96,0.0015138129,-0.006941735278815031,0.0003,0.019384765625,950,-5.707154750823975,0.2,5.455561165490507e-07,-0.24240133897401392,-0.0002243998518679291
500.0,598,198656,331,500.0,97,0.0012721401,-0.002352137118577957,0.0003,0.01142578125,960,-6.9902191162109375,0.2,7.058430895767742e-07,-0.25386514808051286,0.0001411262244801037
500.0,594,200704,337,500.0,98,0.0026070047,0.011544764041900635,0.0003,0.01591796875,970,-5.873027324676514,0.2,0.0002001513045200909,-0.2513069807551801,-9.823765722103417e-05
500.0,589,202752,343,500.0,99,0.0019057115,-0.002483564894646406,0.0003,0.01484375,980,-1.9148690700531006,0.2,1.596659345182161e-06,-0.2457984069362283,-0.00032437814479635563
500.0,584,204800,350,500.0,100,0.0044202106,0.012907425872981548,0.0003,0.039013671875,990,-3.4192185401916504,0.2,1.6879399993285916e-07,-0.26000346913933753,-0.0006498148024547846
500.0,580,206848,356,500.0,101,0.0019372128,-8.332557626999915e-05,0.0003,0.018798828125,1000,-2.7156901359558105,0.2,1.684672554347344e-07,-0.2528678179252893,-0.0001336361325229518
500.0,575,208896,363,500.0,102,0.00621567,-0.014327515847980976,0.0003,0.046337890625,1010,-4.549216270446777,0.2,1.2642081514968595e-07,-0.25831276667304337,-0.0007908414867415558
500.0,570,210944,369,500.0,103,0.0020980383,-0.014753423631191254,0.0003,0.022509765625,1020,-5.689222812652588,0.2,1.576887200371857e-07,-0.2650767341721803,-0.0006671654002275318
500.0,566,212992,376,500.0,104,0.0043101003,-0.0005896994844079018,0.0003,0.02626953125,1030,-3.653768539428711,0.2,4.5692168839650547e-07,-0.24180211806669832,-0.0006700655867462046
500.0,561,215040,382,500.0,105,0.0032092207,0.0012343779671937227,0.0003,0.028662109375,1040,-3.8145008087158203,0.2,1.6925070269735443e-07,-0.2675350126810372,-0.0020091655547730624
500.0,557,217088,389,500.0,106,0.0029062033,0.006818893365561962,0.0003,0.01455078125,1050,-5.214775562286377,0.2,1.8747956573861301e-07,-0.2572285061702132,-0.000371575252211187
500.0,553,219136,396,500.0,107,0.0018297532,0.00031783769372850657,0.0003,0.0212890625,1060,-4.157036304473877,0.2,2.0732178313664916e-06,-0.2465194207150489,-0.0009076451839064248
500.0,548,221184,403,500.0,108,0.0017723965,-0.0009541235049255192,0.0003,0.01923828125,1070,-6.524864196777344,0.2,5.001593737574694e-06,-0.24900993085466325,-0.00026658127317205074
500.0,544,223232,409,500.0,109,0.0022513778,-0.009067184291779995,0.0003,0.028369140625,1080,-9.159071922302246,0.2,3.464760936822131e-07,-0.23079854846000672,-0.001831478570238687
500.0,540,225280,416,500.0,110,0.0022828877,0.004967012908309698,0.0003,0.018115234375,1090,-8.801410675048828,0.2,6.576308319949931e-06,-0.23830483364872634,-0.0007358054994256235
500.0,536,227328,423,500.0,111,0.0011829995,0.005826262291520834,0.0003,0.013232421875,1100,-5.584055423736572,0.2,2.0307424222210103e-07,-0.22664140146225692,0.0003163388886605389
500.0,532,229376,430,500.0,112,0.0012830804,-0.0034528737887740135,0.0003,0.024365234375,1110,-6.007758140563965,0.2,1.493492641202465e-06,-0.25963149885646997,0.00016227680316660553
500.0,528,231424,437,500.0,113,0.004568481,-0.0008904170827008784,0.0003,0.0416015625,1120,-9.728971481323242,0.2,4.0217064022840535e-05,-0.2774882257916033,-0.00037407547351904215
