rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
500.0,591,198656,336,97,500.0,0.0001411262244801037,-0.25386514808051286,960,-6.9902191162109375,-0.002352137118577957,7.058430895767742e-07,0.0003,0.0012721401,0.01142578125,0.2
500.0,586,200704,342,98,500.0,-9.823765722103417e-05,-0.2513069807551801,970,-5.873027324676514,0.011544764041900635,0.0002001513045200909,0.0003,0.0026070047,0.01591796875,0.2
500.0,582,202752,348,99,500.0,-0.00032437814479635563,-0.2457984069362283,980,-1.9148690700531006,-0.002483564894646406,1.596659345182161e-06,0.0003,0.0019057115,0.01484375,0.2
500.0,577,204800,354,100,500.0,-0.0006498148024547846,-0.26000346913933753,990,-3.4192185401916504,0.012907425872981548,1.6879399993285916e-07,0.0003,0.0044202106,0.039013671875,0.2
500.0,572,206848,361,101,500.0,-0.0001336361325229518,-0.2528678179252893,1000,-2.7156901359558105,-8.332557626999915e-05,1.684672554347344e-07,0.0003,0.0019372128,0.018798828125,0.2
500.0,567,208896,367,102,500.0,-0.0007908414867415558,-0.25831276667304337,1010,-4.549216270446777,-0.014327515847980976,1.2642081514968595e-07,0.0003,0.00621567,0.046337890625,0.2
500.0,563,210944,374,103,500.0,-0.0006671654002275318,-0.2650767341721803,1020,-5.689222812652588,-0.014753423631191254,1.576887200371857e-07,0.0003,0.0020980383,0.022509765625,0.2
500.0,558,212992,381,104,500.0,-0.0006700655867462046,-0.24180211806669832,1030,-3.653768539428711,-0.0005896994844079018,4.5692168839650547e-07,0.0003,0.0043101003,0.02626953125,0.2
500.0,554,215040,387,105,500.0,-0.0020091655547730624,-0.2675350126810372,1040,-3.8145008087158203,0.0012343779671937227,1.6925070269735443e-07,0.0003,0.0032092207,0.028662109375,0.2
500.0,550,217088,394,106,500.0,-0.000371575252211187,-0.2572285061702132,1050,-5.214775562286377,0.006818893365561962,1.8747956573861301e-07,0.0003,0.0029062033,0.01455078125,0.2
500.0,545,219136,401,107,500.0,-0.0009076451839064248,-0.2465194207150489,1060,-4.157036304473877,0.00031783769372850657,2.0732178313664916e-06,0.0003,0.0018297532,0.0212890625,0.2
500.0,541,221184,408,108,500.0,-0.00026658127317205074,-0.24900993085466325,1070,-6.524864196777344,-0.0009541235049255192,5.001593737574694e-06,0.0003,0.0017723965,0.01923828125,0.2
500.0,537,223232,415,109,500.0,-0.001831478570238687,-0.23079854846000672,1080,-9.159071922302246,-0.009067184291779995,3.464760936822131e-07,0.0003,0.0022513778,0.028369140625,0.2
500.0,533,225280,422,110,500.0,-0.0007358054994256235,-0.23830483364872634,1090,-8.801410675048828,0.004967012908309698,6.576308319949931e-06,0.0003,0.0022828877,0.018115234375,0.2
500.0,529,227328,429,111,500.0,0.0003163388886605389,-0.22664140146225692,1100,-5.584055423736572,0.005826262291520834,2.0307424222210103e-07,0.0003,0.0011829995,0.013232421875,0.2
500.0,525,229376,436,112,500.0,0.00016227680316660553,-0.25963149885646997,1110,-6.007758140563965,-0.0034528737887740135,1.493492641202465e-06,0.0003,0.0012830804,0.024365234375,0.2
500.0,522,231424,443,113,500.0,-0.00037407547351904215,-0.2774882257916033,1120,-9.728971481323242,-0.0008904170827008784,4.0217064022840535e-05,0.0003,0.004568481,0.0416015625,0.2
500.0,518,233472,450,114,500.0,-0.0006075749559386167,-0.2434033380821347,1130,-6.429103851318359,0.0018365585710853338,1.7333615005554747e-07,0.0003,0.0028757364,0.020361328125,0.2
500.0,514,235520,457,115,500.0,1.0120890510734171e-05,-0.2716248041950166,1140,-9.700272560119629,-0.012213817797601223,1.8079276742355432e-07,0.0003,0.0011342131,0.020166015625,0.2
500.0,511,237568,464,116,500.0,-0.0009482606401434168,-0.2639763794839382,1150,-13.178947448730469,0.002932847011834383,6.786423085713977e-07,0.0003,0.0026051856,0.0298828125,0.2
500.0,507,239616,472,117,500.0,-0.0010995219054166228,-0.24200029377825558,1160,-11.896784782409668,0.001326217781752348,2.5662824037908648e-05,0.0003,0.0022569392,0.017041015625,0.2
500.0,503,241664,479,118,500.0,-0.00032781090994831174,-0.2654162097722292,1170,-12.772014617919922,-0.005990051664412022,1.136887703978573e-07,0.0003,0.00060469424,0.0208984375,0.2
500.0,500,243712,486,119,500.0,0.0005631594933220186,-0.2528733494691551,1180,-10.183323860168457,-0.001128999050706625,1.6875696076112945e-07,0.0003,0.0019575942,0.0232421875,0.2
500.0,496,245760,494,120,500.0,0.0009636148723075166,-0.25198125853203235,1190,-12.496743202209473,-6.924375338712707e-05,1.6479945088576642e-07,0.0003,0.0011566073,0.014892578125,0.2
500.0,493,247808,502,121,500.0,0.00011115170054836199,-0.26988503988832235,1200,-15.509841918945312,-0.0032145436853170395,0.00010823914212494401,0.0003,0.0024346882,0.0291015625,0.2
500.0,490,249856,509,122,500.0,-0.0040244736213935536,-0.27764083901420233,1210,-11.225996017456055,0.011447655037045479,9.171779424832494e-08,0.0003,0.009705298,0.08916015625,0.2
500.0,486,251904,517,123,500.0,-0.00020691075915237888,-0.265445197885856,1220,-7.5114545822143555,-0.0025006746873259544,1.094702525961111e-07,0.0003,0.0016503113,0.02978515625,0.2
500.0,483,253952,524,124,500.0,2.975388488266617e-05,-0.2702945183031261,1230,-8.370870590209961,0.004154806956648827,9.576159527568962e-08,0.0003,0.00084849156,0.01611328125,0.2
500.0,480,256000,532,125,500.0,0.0004774952496518381,-0.26079717013053594,1240,-8.068187713623047,0.009355537593364716,1.5173626024989062e-06,0.0003,0.0018239109,0.017724609375,0.2
500.0,477,258048,540,126,500.0,-0.0017713476379867643,-0.2484937365632504,1250,-7.798001289367676,0.001269630971364677,4.0490136825610535e-07,0.0003,0.003422035,0.02265625,0.2
500.0,474,260096,548,127,500.0,7.866173982620239e-05,-0.2553758549503982,1260,-9.71960163116455,0.0010437426390126348,1.0285176301749744e-07,0.0003,0.0020621924,0.016455078125,0.2
500.0,471,262144,556,128,500.0,-0.00119180160399992,-0.24471411067061127,1270,-7.812163352966309,0.0008528928156010807,5.573654232193803e-06,0.0003,0.0021873876,0.02021484375,0.2
500.0,468,264192,564,129,500.0,0.0010209493048023432,-0.250734172668308,1280,-5.928564071655273,0.008327714167535305,2.804737551400649e-05,0.0003,0.0015669204,0.02177734375,0.2
500.0,464,266240,572,130,500.0,0.0010834673681529238,-0.25641318475827574,1290,-4.783181190490723,0.0005344676901586354,1.245511487013573e-06,0.0003,0.0036693045,0.025,0.2
500.0,461,268288,581,131,500.0,0.0003277746152889449,-0.2530085637234151,1300,-9.632856369018555,0.0045224204659461975,2.1559386311764684e-07,0.0003,0.0014237224,0.017529296875,0.2
500.0,458,270336,589,132,500.0,-0.0007833167241187766,-0.2413790503051132,1310,-7.788947105407715,-0.002350343856960535,2.993135955193793e-05,0.0003,0.002708885,0.018798828125,0.2
500.0,455,272384,597,133,500.0,0.00012089736992493272,-0.26511380784213545,1320,-13.604146003723145,-0.0016059124609455466,1.5943424585884713e-06,0.0003,0.0027793995,0.051904296875,0.2
500.0,453,274432,605,134,500.0,0.0007166952782426961,-0.24590231124311684,1330,-7.141151428222656,0.00144009361974895,1.1887462392223824e-07,0.0003,0.0024778508,0.020361328125,0.2
500.0,450,276480,613,135,500.0,0.00025718721735756844,-0.2570068980567157,1340,-11.728446006774902,-0.0031252214685082436,1.5901411290997203e-05,0.0003,0.0014846169,0.014599609375,0.2
500.0,447,278528,622,136,500.0,-0.0014097786719503348,-0.2642075235955417,1350,-2.3301618099212646,-0.0035547816660255194,2.5908402591312552e-06,0.0003,0.005399471,0.040478515625,0.2
500.0,445,280576,630,137,500.0,0.0002905133627791656,-0.2602592018898576,1360,-3.729491710662842,-0.0002911031187977642,2.417370069451863e-07,0.0003,0.0012700725,0.014501953125,0.2
500.0,442,282624,638,138,500.0,-0.0005096389199024997,-0.26697078365832566,1370,-2.977417230606079,-0.008344708010554314,3.6316424427695894e-07,0.0003,0.0016067914,0.027685546875,0.2
500.0,440,284672,646,139,500.0,-0.00025182934405165724,-0.2707710847724229,1380,-5.5291852951049805,-0.008186188526451588,1.4260849354741367e-07,0.0003,0.0025178953,0.02080078125,0.2
500.0,437,286720,655,140,500.0,6.594417791347951e-05,-0.2601642358116806,1390,-3.0613040924072266,-0.0015353666385635734,1.7284173830489634e-05,0.0003,0.0020887991,0.023193359375,0.2
500.0,435,288768,663,141,500.0,-0.0005460744920128491,-0.25203563962131736,1400,-6.837904930114746,-0.002542271977290511,1.2804044899894506e-07,0.0003,0.0034225844,0.0224609375,0.2
500.0,432,290816,672,142,500.0,-0.0032852988006197847,-0.2595484639052302,1410,-3.2152204513549805,-0.0069115343503654,7.309991588044795e-07,0.0003,0.004313816,0.048828125,0.2
500.0,430,292864,680,143,500.0,-0.002783838170580566,-0.2648481547366828,1420,-7.999212265014648,0.005852438509464264,1.7185196838909177e-07,0.0003,0.004522492,0.0611328125,0.2
500.0,427,294912,689,144,500.0,-0.0014617697190260515,-0.25837300266139207,1430,-6.05131196975708,0.0006850781501270831,8.57086259600237e-06,0.0003,0.0023166435,0.01552734375,0.2
