time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/loss
321,500.0,94,598,192512,500.0,2.477880201467997e-07,930,-0.2514381500892341,-6.491806983947754,-0.0002291817290824838,0.012890625,0.2,0.0003,0.0014317401,0.0062791514210402966
327,500.0,95,594,194560,500.0,2.8310190032243553e-07,940,-0.2549753872212023,-8.764546394348145,-0.0005228856913163327,0.03173828125,0.2,0.0003,0.0035763874,-0.004661073908209801
333,500.0,96,589,196608,500.0,5.455561165490507e-07,950,-0.24240133897401392,-5.707154750823975,-0.0002243998518679291,0.019384765625,0.2,0.0003,0.0015138129,-0.006941735278815031
339,500.0,97,584,198656,500.0,7.058430895767742e-07,960,-0.25386514808051286,-6.9902191162109375,0.0001411262244801037,0.01142578125,0.2,0.0003,0.0012721401,-0.002352137118577957
345,500.0,98,580,200704,500.0,0.0002001513045200909,970,-0.2513069807551801,-5.873027324676514,-9.823765722103417e-05,0.01591796875,0.2,0.0003,0.0026070047,0.011544764041900635
352,500.0,99,575,202752,500.0,1.596659345182161e-06,980,-0.2457984069362283,-1.9148690700531006,-0.00032437814479635563,0.01484375,0.2,0.0003,0.0019057115,-0.002483564894646406
358,500.0,100,570,204800,500.0,1.6879399993285916e-07,990,-0.26000346913933753,-3.4192185401916504,-0.0006498148024547846,0.039013671875,0.2,0.0003,0.0044202106,0.012907425872981548
365,500.0,101,565,206848,500.0,1.684672554347344e-07,1000,-0.2528678179252893,-2.7156901359558105,-0.0001336361325229518,0.018798828125,0.2,0.0003,0.0019372128,-8.332557626999915e-05
372,500.0,102,560,208896,500.0,1.2642081514968595e-07,1010,-0.25831276667304337,-4.549216270446777,-0.0007908414867415558,0.046337890625,0.2,0.0003,0.00621567,-0.014327515847980976
379,500.0,103,556,210944,500.0,1.576887200371857e-07,1020,-0.2650767341721803,-5.689222812652588,-0.0006671654002275318,0.022509765625,0.2,0.0003,0.0020980383,-0.014753423631191254
386,500.0,104,551,212992,500.0,4.5692168839650547e-07,1030,-0.24180211806669832,-3.653768539428711,-0.0006700655867462046,0.02626953125,0.2,0.0003,0.0043101003,-0.0005896994844079018
393,500.0,105,546,215040,500.0,1.6925070269735443e-07,1040,-0.2675350126810372,-3.8145008087158203,-0.0020091655547730624,0.028662109375,0.2,0.0003,0.0032092207,0.0012343779671937227
400,500.0,106,542,217088,500.0,1.8747956573861301e-07,1050,-0.2572285061702132,-5.214775562286377,-0.000371575252211187,0.01455078125,0.2,0.0003,0.0029062033,0.006818893365561962
407,500.0,107,537,219136,500.0,2.0732178313664916e-06,1060,-0.2465194207150489,-4.157036304473877,-0.0009076451839064248,0.0212890625,0.2,0.0003,0.0018297532,0.00031783769372850657
414,500.0,108,533,221184,500.0,5.001593737574694e-06,1070,-0.24900993085466325,-6.524864196777344,-0.00026658127317205074,0.01923828125,0.2,0.0003,0.0017723965,-0.0009541235049255192
422,500.0,109,528,223232,500.0,3.464760936822131e-07,1080,-0.23079854846000672,-9.159071922302246,-0.001831478570238687,0.028369140625,0.2,0.0003,0.0022513778,-0.009067184291779995
429,500.0,110,524,225280,500.0,6.576308319949931e-06,1090,-0.23830483364872634,-8.801410675048828,-0.0007358054994256235,0.018115234375,0.2,0.0003,0.0022828877,0.004967012908309698
436,500.0,111,520,227328,500.0,2.0307424222210103e-07,1100,-0.22664140146225692,-5.584055423736572,0.0003163388886605389,0.013232421875,0.2,0.0003,0.0011829995,0.005826262291520834
444,500.0,112,516,229376,500.0,1.493492641202465e-06,1110,-0.25963149885646997,-6.007758140563965,0.00016227680316660553,0.024365234375,0.2,0.0003,0.0012830804,-0.0034528737887740135
451,500.0,113,512,231424,500.0,4.0217064022840535e-05,1120,-0.2774882257916033,-9.728971481323242,-0.00037407547351904215,0.0416015625,0.2,0.0003,0.004568481,-0.0008904170827008784
459,500.0,114,508,233472,500.0,1.7333615005554747e-07,1130,-0.2434033380821347,-6.429103851318359,-0.0006075749559386167,0.020361328125,0.2,0.0003,0.0028757364,0.0018365585710853338
466,500.0,115,504,235520,500.0,1.8079276742355432e-07,1140,-0.2716248041950166,-9.700272560119629,1.0120890510734171e-05,0.020166015625,0.2,0.0003,0.0011342131,-0.012213817797601223
474,500.0,116,500,237568,500.0,6.786423085713977e-07,1150,-0.2639763794839382,-13.178947448730469,-0.0009482606401434168,0.0298828125,0.2,0.0003,0.0026051856,0.002932847011834383
482,500.0,117,496,239616,500.0,2.5662824037908648e-05,1160,-0.24200029377825558,-11.896784782409668,-0.0010995219054166228,0.017041015625,0.2,0.0003,0.0022569392,0.001326217781752348
489,500.0,118,493,241664,500.0,1.136887703978573e-07,1170,-0.2654162097722292,-12.772014617919922,-0.00032781090994831174,0.0208984375,0.2,0.0003,0.00060469424,-0.005990051664412022
497,500.0,119,489,243712,500.0,1.6875696076112945e-07,1180,-0.2528733494691551,-10.183323860168457,0.0005631594933220186,0.0232421875,0.2,0.0003,0.0019575942,-0.001128999050706625
